Date,USD_Share_Pct
2021-01-01,38.23
2021-02-01,38.46
2021-03-01,38.68
2021-04-01,38.91
2021-05-01,39.09
2021-06-01,39.27
2021-07-01,39.45
2021-08-01,39.57
2021-09-01,39.7
2021-10-01,39.82
2021-11-01,40.05
2021-12-01,40.28
2022-01-01,40.51
2022-02-01,40.92
2022-03-01,41.32
2022-04-01,41.73
2022-05-01,42.11
2022-06-01,42.5
2022-07-01,42.88
2022-08-01,42.37
2022-09-01,41.86
2022-10-01,41.35
2022-11-01,41.28
2022-12-01,41.21
2023-01-01,41.14
2023-02-01,41.66
2023-03-01,42.17
2023-04-01,42.69
2023-05-01,43.95
2023-06-01,45.2
2023-07-01,46.46
2023-08-01,46.72
2023-09-01,46.97
2023-10-01,47.23
2023-11-01,47.27
2023-12-01,47.31
2024-01-01,47.35
2024-02-01,47.51
2024-03-01,47.66
2024-04-01,47.82
2024-05-01,47.89
2024-06-01,47.96
2024-07-01,48.03
2024-08-01,47.87
2024-09-01,47.7
2024-10-01,47.54
2024-11-01,47.43
2024-12-01,47.31
2025-01-01,47.2
2025-02-01,47.1
2025-03-01,47.0
2025-04-01,46.9
